Finish	Finish (group)	Item Number	Model	Week ID	Week Number ID	In-Stock %	Inventory On Hand ($)	Item Number ID	Number of Records	Sales ($)
black	Finish Group	12346	3089	10-02-2017	1	0.977743973	1942.883	308964	1	2114.45
black	Finish Group	12346	3089	17-02-2017	2	0.982360245	1992.873	308964	1	2291.19
black	Finish Group	12346	3089	24-02-2017	3	0.988213019	2032.016	308964	1	2287.63
black	Finish Group	12346	3089	03-03-2017	4	0.990438722	2033.281	308964	1	2305.83
black	Finish Group	12346	3089	10-03-2017	5	0.992004957	2014.838	308964	1	2083.02
black	Finish Group	12346	3089	17-03-2017	6	0.993733992	2008.995	308964	1	2064.94
black	Finish Group	12346	3089	24-03-2017	7	0.994147744	2017.397	308964	1	2738.17
black	Finish Group	12346	3089	31-03-2017	8	0.995549595	2017.648	308964	1	2306.2
black	Finish Group	12346	3089	07-04-2017	9	0.994890127	2023.728	308964	1	2200.49
black	Finish Group	12346	3089	14-04-2017	10	0.994065793	2042.722	308964	1	2540.89
black	Finish Group	12346	3089	21-04-2017	11	0.992252257	2136.738	308964	1	2250.71
black	Finish Group	12346	3089	28-04-2017	12	0.995549595	2149.962	308964	1	2032.16
black	Finish Group	12346	3089	05-05-2017	13	0.993159025	2151.427	308964	1	2136.69
black	Finish Group	12346	3089	12-05-2017	14	0.992829291	2190.669	308964	1	2065.89
black	Finish Group	12346	3089	19-05-2017	15	0.992334691	2176.048	308964	1	2031.57
black	Finish Group	12346	3089	26-05-2017	16	0.993736059	2176.215	308964	1	2127.52
black	Finish Group	12346	3089	02-06-2017	17	0.995796895	2154.25	308964	1	2057.64
black	Finish Group	12346	3089	09-06-2017	18	0.995467161	2126.877	308964	1	2349.7
black	Finish Group	12346	3089	16-06-2017	19	0.993736059	2104.936	308964	1	1918.52
black	Finish Group	12346	3089	23-06-2017	20	0.992420873	2076.531	308964	1	2150.62
black	Finish Group	12346	3089	30-06-2017	21	0.994398759	2049.483	308964	1	1899.18
black	Finish Group	12346	3089	07-07-2017	22	0.996046151	2021.566	308964	1	2199.41
black	Finish Group	12346	3089	14-07-2017	23	0.994313093	1991.015	308964	1	2005.67
black	Finish Group	12346	3089	21-07-2017	24	0.991345489	1960.662	308964	1	2130.58
black	Finish Group	12346	3089	28-07-2017	25	0.989944121	1945.188	308964	1	1726.17
black	Finish Group	12346	3089	04-08-2017	26	0.989779254	1928.155	308964	1	1723.79
black	Finish Group	12346	3089	11-08-2017	27	0.987635985	1894.438	308964	1	2051.16
